Configure Soot Confluence 1 Inter,Configure Soot CDe,Time to perform PDG,Configure Soot DFP Intra,Configure Soot OA Inter,Time to perform Confluence 1 Inter,Configure Soot Confluence 2 Intra,Configure Soot PDGe,Time to perform Confluence 2 Intra,Time to perform PDGe,Time to perform Confluence 2 Inter,Configure Soot PDG,Configure Soot Confluence 2 Inter,Configure Soot DFP Inter,Time to perform OA Inter,Time to perform DFP Intra,Time to perform CD,Configure Soot CD,Time to perform Confluence 1 Intra,Configure Soot Confluence 1 Intra,Time to perform CDe,Time to perform DFP Inter
,,,,,,,,,,,,,,,,,,,"1,71500s",,
,,,,,,,,,,,,,,,,,,"0,34100s",,,
,,,,,,"0,99400s",,,,,,,,,,,,,,,
,,,,,,,,"0,01100s",,,,,,,,,,,,,
"1,24100s",,,,,,,,,,,,,,,,,,,,,
,,,,,"0,34900s",,,,,,,,,,,,,,,,
,,,,,,,,,,,,"0,97400s",,,,,,,,,
,,,,,,,,,,"0,00900s",,,,,,,,,,,
,,,,"1,18400s",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"1,26800s",,,,,,,
,,,"2,16000s",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"0,71500s",,,,,,
,,,"2,04100s",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"0,58600s",,,,,,
,,,,,,,,,,,,,"1,91500s",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,60900s"
,,,,,,,,,,,,,"1,96700s",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,50200s"
,,,,,,,,,,,,,,,,,"1,47100s",,,,
,,,,,,,,,,,,,,,,"0,08400s",,,,,
,,,,,,,,,,,,,,,,,"1,55300s",,,,
,,,,,,,,,,,,,,,,"0,11700s",,,,,
,"1,46700s",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"0,10400s",
,"1,80200s",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"0,10700s",
,,,,,,,,,,,"1,48500s",,,,,,,,,,
,,"0,65900s",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"1,41900s",,,,,,,,,,
,,"0,50000s",,,,,,,,,,,,,,,,,,,
,,,,,,,"1,73700s",,,,,,,,,,,,,,
,,,,,,,,,"0,50700s",,,,,,,,,,,,
,,,,,,,"1,39100s",,,,,,,,,,,,,,
,,,,,,,,,"0,52300s",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"1,03000s",,
,,,,,,,,,,,,,,,,,,"1,39300s",,,
,,,,,,"0,91400s",,,,,,,,,,,,,,,
,,,,,,,,"0,35900s",,,,,,,,,,,,,
"1,06100s",,,,,,,,,,,,,,,,,,,,,
,,,,,"2,17900s",,,,,,,,,,,,,,,,
,,,,,,,,,,,,"0,54600s",,,,,,,,,
,,,,,,,,,,"1,13800s",,,,,,,,,,,
,,,,"1,28400s",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"1,50600s",,,,,,,
,,,"0,98400s",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"0,87200s",,,,,,
,,,"0,94600s",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"0,84200s",,,,,,
,,,,,,,,,,,,,"0,93600s",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"1,55300s"
,,,,,,,,,,,,,"1,03600s",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"1,42500s"
,,,,,,,,,,,,,,,,,"0,99100s",,,,
,,,,,,,,,,,,,,,,"0,71700s",,,,,
,,,,,,,,,,,,,,,,,"1,01500s",,,,
,,,,,,,,,,,,,,,,"0,68500s",,,,,
,"1,04800s",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"0,80800s",
,"1,14400s",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"0,76000s",
,,,,,,,,,,,"1,16600s",,,,,,,,,,
,,"0,94200s",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"1,42000s",,,,,,,,,,
,,"1,13200s",,,,,,,,,,,,,,,,,,,
,,,,,,,"1,23000s",,,,,,,,,,,,,,
,,,,,,,,,"1,11900s",,,,,,,,,,,,
,,,,,,,"1,36100s",,,,,,,,,,,,,,
,,,,,,,,,"1,22500s",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"1,28000s",,
,,,,,,,,,,,,,,,,,,"1,27000s",,,
,,,,,,"0,62000s",,,,,,,,,,,,,,,
,,,,,,,,"0,29600s",,,,,,,,,,,,,
"1,16400s",,,,,,,,,,,,,,,,,,,,,
,,,,,"5,40200s",,,,,,,,,,,,,,,,
,,,,,,,,,,,,"0,37400s",,,,,,,,,
,,,,,,,,,,"3,81800s",,,,,,,,,,,
,,,,"1,11200s",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"1,52100s",,,,,,,
,,,"0,95100s",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"1,03900s",,,,,,
,,,"1,01900s",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"1,01400s",,,,,,
,,,,,,,,,,,,,"0,95400s",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"2,58400s"
,,,,,,,,,,,,,"0,99100s",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"2,72600s"
,,,,,,,,,,,,,,,,,"1,08000s",,,,
,,,,,,,,,,,,,,,,"1,00000s",,,,,
,,,,,,,,,,,,,,,,,"1,06900s",,,,
,,,,,,,,,,,,,,,,"0,93200s",,,,,
,"1,03700s",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"0,99400s",
,"1,03900s",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"1,11800s",
,,,,,,,,,,,"1,04600s",,,,,,,,,,
,,"1,24000s",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"0,95600s",,,,,,,,,,
,,"1,22700s",,,,,,,,,,,,,,,,,,,
,,,,,,,"0,91500s",,,,,,,,,,,,,,
,,,,,,,,,"1,55100s",,,,,,,,,,,,
,,,,,,,"1,09800s",,,,,,,,,,,,,,
,,,,,,,,,"1,30100s",,,,,,,,,,,,
